Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,9/3/2020 4:30,32.3182,-86.9023,128239,2217,51154,74868,1,2615.422424,964233,,1.72880325,84000001,USA,19665.44195,
Alaska,US,9/3/2020 4:30,61.3707,-152.4044,5362,39,2281,3042,2,732.9692637,376884,,0.727340545,84000002,USA,51518.90861,
Arizona,US,9/3/2020 4:30,33.7298,-111.4312,202861,5065,31021,166775,4,2787.043376,1213927,,2.496783512,84000004,USA,16677.76065,
Arkansas,US,9/3/2020 4:30,34.9697,-92.3731,62112,841,56261,5010,5,2058.185356,737449,,1.354005667,84000005,USA,24436.6102,
California,US,9/3/2020 4:30,36.1162,-119.6816,721281,13317,,707964,6,1825.462971,11580370,,1.846298461,84000006,USA,29308.32315,
Colorado,US,9/3/2020 4:30,39.0598,-105.3111,57999,1952,5979,50068,8,1007.148096,1014642,,3.365575269,84000008,USA,17619.17893,
Connecticut,US,9/3/2020 4:30,41.5978,-72.7554,53108,4467,8967,39674,9,1489.585551,1203979,,8.41116216,84000009,USA,33769.48335,
Delaware,US,9/3/2020 4:30,39.3185,-75.5071,17549,606,9467,7476,10,1802.182048,240530,,3.453188216,84000010,USA,24701.05693,
Florida,US,9/3/2020 4:30,27.7663,-81.6868,633442,11501,,621941,12,2949.295822,4693802,,1.815635844,84000012,USA,21854.26705,
Georgia,US,9/3/2020 4:30,33.0406,-83.6431,274613,5795,,268818,13,2586.437406,2381637,,2.110242414,84000013,USA,22431.40355,
Hawaii,US,9/3/2020 4:30,21.0943,-157.4983,8991,75,2634,6282,15,635.0150296,202186,,0.834167501,84000015,USA,14279.96316,
Idaho,US,9/3/2020 4:30,44.2405,-114.4788,32664,372,15212,17080,16,1827.801451,259096,,1.138868479,84000016,USA,14498.4094,
Illinois,US,9/3/2020 4:30,40.3495,-88.9861,240344,8300,,232044,17,1896.680832,4121575,,3.453383484,84000017,USA,32525.51468,
Indiana,US,9/3/2020 4:30,39.8494,-86.2583,95750,3325,73390,19035,18,1422.265081,1092596,,3.472584856,84000018,USA,16229.35915,
Iowa,US,9/3/2020 4:30,42.0115,-93.2105,66463,1133,48074,17256,19,2106.545972,629654,,1.704707883,84000019,USA,19956.89478,
Kansas,US,9/3/2020 4:30,38.5266,-96.7265,43847,461,1730,41656,20,1505.055754,419247,,1.051383219,84000020,USA,14390.72479,
Kentucky,US,9/3/2020 4:30,37.6681,-84.6701,49991,966,10463,38562,21,1118.949395,837211,,1.932347823,84000021,USA,18739.30791,
Louisiana,US,9/3/2020 4:30,31.1695,-91.8678,149838,5004,134432,10402,22,3223.158522,1903883,,3.339606775,84000022,USA,40954.34214,
Maine,US,9/3/2020 4:30,44.6939,-69.3819,4568,133,3978,457,23,339.8273487,273032,,2.911558669,84000023,USA,20311.67703,
Maryland,US,9/3/2020 4:30,39.0639,-76.8021,109319,3766,7026,98527,24,1808.216776,1345646,,3.444963821,84000024,USA,22257.97594,
Massachusetts,US,9/3/2020 4:30,42.2302,-71.5301,129182,9060,103920,16202,25,1874.2393,1771706,,7.013360995,84000025,USA,25704.8274,
Michigan,US,9/3/2020 4:30,43.3266,-84.5361,114468,6781,76151,31536,26,1146.186433,2816816,,5.923926337,84000026,USA,28205.23013,
Minnesota,US,9/3/2020 4:30,45.6945,-93.9002,77085,1882,69521,5682,27,1366.844503,1150854,,2.441460725,84000027,USA,20406.54426,
Mississippi,US,9/3/2020 4:30,32.7416,-89.6787,84365,2526,67918,13921,28,2834.703504,581586,,2.994132638,84000028,USA,19541.56193,
Missouri,US,9/3/2020 4:30,38.4561,-92.2884,88216,1578,,86638,29,1437.344764,998097,,1.788791149,84000029,USA,16262.46369,
Montana,US,9/3/2020 4:30,46.9219,-110.4544,7691,109,5584,1998,30,719.6068781,253873,,1.417240931,84000030,USA,23753.57651,
Nebraska,US,9/3/2020 4:30,41.1254,-98.2681,34995,399,26363,8233,31,1809.080608,365641,,1.14016288,84000031,USA,18901.95864,
Nevada,US,9/3/2020 4:30,38.3135,-117.0554,69872,1336,1817,66719,32,2268.456533,602308,,1.912067781,84000032,USA,19554.46412,
New Hampshire,US,9/3/2020 4:30,43.4525,-71.5639,7309,432,6634,243,33,537.540698,211281,,5.910521275,84000033,USA,15538.66961,
New Jersey,US,9/3/2020 4:30,40.2989,-74.521,192595,15964,33991,142640,34,2168.327856,2902267,,8.288896389,84000034,USA,32675.12854,
New Mexico,US,9/3/2020 4:30,34.8405,-106.2485,25612,790,13073,11749,35,1221.463457,765399,,3.084491645,84000035,USA,36502.69049,
New York,US,9/3/2020 4:30,42.1657,-74.9481,436218,32972,75203,328043,36,2242.355526,8428477,,7.558606018,84000036,USA,43326.13962,
North Carolina,US,9/3/2020 4:30,35.6301,-79.8064,170553,2779,145884,21890,37,1626.159745,2315310,,1.629405522,84000037,USA,22075.62411,
North Dakota,US,9/3/2020 4:30,47.5289,-99.784,12267,148,9834,2285,38,1609.711546,204097,,1.206488954,84000038,USA,26782.20407,
Ohio,US,9/3/2020 4:30,40.3888,-82.7649,125767,4176,105065,16526,39,1075.93399,2292748,,3.320425867,84000039,USA,19614.41001,
Oklahoma,US,9/3/2020 4:30,35.5653,-96.9289,60118,821,50646,8651,40,1519.293419,893242,,1.36564756,84000040,USA,22573.8829,
