ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
1,Alabama,8/1/2020,89349,1603,35401,52345,1822.264508,697371,10521,1.79408835,14222.81639,11.77517376
2,Alaska,8/1/2020,3136,24,930,2182,428.6817626,238633,,0.765306122,32620.41296,
3,Arizona,8/1/2020,177002,3747,23064,150191,2431.774721,948650,11346,2.116925232,13033.20352,6.410097061
4,Arkansas,8/1/2020,43173,458,36034,6681,1430.609808,514581,2852,1.060848215,17051.505,6.60598059
5,California,8/1/2020,506613,9345,,497268,1282.167799,7886587,,1.844603277,19959.8666,
6,Colorado,8/1/2020,47249,1844,5334,40071,820.4751876,533403,6441,3.9027281,9262.501354,13.63203454
7,Connecticut,8/1/2020,49810,4432,8613,36765,1397.082479,793996,10807,8.897811684,22270.1847,21.6964465
8,Delaware,8/1/2020,14877,585,8212,6080,1527.782912,182896,,3.932244404,18782.37437,
9,Florida,8/1/2020,480028,7022,,473006,2235.002691,3679443,27344,1.462831335,17131.42777,5.69633438
10,Georgia,8/1/2020,190012,3825,,186187,1789.624469,1596085,18995,2.013030756,15032.69673,9.996737048
11,Hawaii,8/1/2020,2197,26,1243,928,155.1693938,123251,179,1.183431953,8704.953555,8.147473828
12,Idaho,8/1/2020,21110,197,6998,13915,1181.26649,181873,850,0.933207011,10177.18997,4.026527712
13,Illinois,8/1/2020,181754,7700,,174054,1434.316346,2740658,,4.236495483,21627.97281,
14,Indiana,8/1/2020,67122,2971,46955,17196,997.0263891,758606,8781,4.426268586,11268.29059,13.08214892
15,Iowa,8/1/2020,45293,874,32819,11600,1435.562444,478970,,1.929658005,15180.9627,
16,Kansas,8/1/2020,27592,358,1178,26056,947.1001066,292507,1751,1.29747753,10040.35267,6.346042331
17,Kentucky,8/1/2020,30723,740,8135,21848,687.6734264,596674,3782,2.40861895,13355.36419,12.30999577
18,Louisiana,8/1/2020,116280,3949,74246,38085,2501.293884,1342243,,3.396112831,28872.92919,
19,Maine,8/1/2020,3937,123,3377,437,292.8853484,169746,388,3.124206248,12627.91881,9.85521971
20,Maryland,8/1/2020,89365,3506,5713,80146,1478.16292,929354,12672,3.923236166,15372.19965,14.18004812
21,Massachusetts,8/1/2020,118040,8626,97595,11819,1712.585399,1188430,11908,7.307692308,17242.35738,10.08810573
22,Michigan,8/1/2020,91332,6457,60022,24853,914.5219562,1876830,,7.069811238,18792.99964,
23,Minnesota,8/1/2020,55188,1646,48119,5423,978.5744885,846268,5208,2.982532435,15005.73087,9.436834094
24,Mississippi,8/1/2020,59881,1693,35071,23117,2012.02964,461473,4314,2.827274094,15505.70889,7.204288506
25,Missouri,8/1/2020,51632,1276,,50356,841.2644515,696745,,2.471335606,11352.39387,
26,Montana,8/1/2020,4081,61,2456,1564,381.8379495,171553,230,1.494731683,16051.32216,5.63587356
27,Nebraska,8/1/2020,26391,332,19172,6887,1364.293365,275259,1622,1.258004623,14229.62477,6.146034633
28,Nevada,8/1/2020,49074,832,1127,47115,1593.230992,474220,,1.695398786,15395.97345,
29,New Hampshire,8/1/2020,6614,416,5794,404,486.4268951,160962,695,6.289688539,11837.95674,10.50801331
30,New Jersey,8/1/2020,182029,15830,32475,133724,2049.370707,2096698,21565,8.696416505,23605.6423,11.84701339
31,New Mexico,8/1/2020,20796,651,8139,12006,991.7833071,558012,2686,3.130409694,26612.1844,12.91594537
32,New York,8/1/2020,415767,32694,73134,309939,2137.228243,5971974,89995,7.863538953,30698.61605,21.64553704
33,North Carolina,8/1/2020,124006,1979,92302,29725,1182.351324,1786412,,1.595890521,17032.77739,
34,North Dakota,8/1/2020,6602,103,5396,1103,866.3337104,156185,371,1.560133293,20495.05158,5.61950924
35,Ohio,8/1/2020,92087,3515,67319,21253,787.8023116,1492903,10857,3.817042579,12771.75317,11.78993778
36,Oklahoma,8/1/2020,37731,549,30282,6900,953.5323863,637192,3228,1.455036972,16103.02426,8.555299356
37,Oregon,8/1/2020,18817,325,3872,14620,446.139719,409616,1607,1.727161609,9711.748267,8.540149864
38,Pennsylvania,8/1/2020,117468,7219,85831,24418,917.5761673,1232322,,6.145503456,9626.019832,
39,Rhode Island,8/1/2020,19022,1007,1823,16192,1795.61075,206016,2211,5.293870255,19447.19505,11.62338345
40,South Carolina,8/1/2020,90599,1751,32859,55989,1759.643282,711869,5527,1.932692414,13826.15154,6.100508836
41,South Dakota,8/1/2020,8867,134,7820,913,1002.307104,112932,832,1.511221383,12765.59669,9.383105898
42,Tennessee,8/1/2020,108184,1067,67651,39466,1584.14473,1542853,4724,0.98628263,22592.088,4.366634622
43,Texas,8/1/2020,444738,6865,282604,155269,1533.797162,3747779,,1.543605449,12925.21169,
44,Utah,8/1/2020,40702,310,28747,11645,1269.573712,533260,2412,0.761633335,16633.40568,5.925998722
45,Vermont,8/1/2020,1421,57,1231,133,227.7283734,95392,,4.011259676,15287.44898,
46,Virginia,8/1/2020,90801,2215,12007,76579,1063.801744,1127361,13263,2.439400447,13207.87875,14.60666733
47,Washington,8/1/2020,57541,1592,,55949,755.6376695,973654,5568,2.766722858,12786.18097,9.67657844
48,West Virginia,8/1/2020,6738,116,4858,1764,375.9736227,287224,,1.721579104,16026.8103,
49,Wisconsin,8/1/2020,54002,947,43284,9771,927.4815309,954003,4681,1.753638754,16384.95172,8.668197474
50,Wyoming,8/1/2020,2769,26,2153,590,478.4374843,53342,167,0.938967136,9216.616934,6.031058144
51,Alabama,8/2/2020,91444,1627,35401,54416,1864.991837,706070,10521,1.779231005,14400.23169,11.50540221
52,Alaska,8/2/2020,3280,24,932,2324,448.3661292,243090,,0.731707317,33229.67145,
53,Arizona,8/2/2020,178467,3765,23413,151289,2451.901894,956428,11371,2.109633714,13140.06301,6.371486045
54,Arkansas,8/2/2020,43810,464,36034,7312,1451.717872,514581,2894,1.059118923,17051.505,6.605797763
55,California,8/2/2020,512175,9396,,502779,1296.244456,8035975,,1.834529214,20337.94707,
56,Colorado,8/2/2020,47709,1844,5359,40506,828.4630516,540572,6465,3.865098828,9386.990478,13.55090235
57,Connecticut,8/2/2020,49810,4432,8613,36765,1397.082479,793996,10807,8.897811684,22270.1847,21.6964465
58,Delaware,8/2/2020,14949,585,8235,6129,1535.176901,184911,,3.913305238,18989.30336,
59,Florida,8/2/2020,487132,7084,,480048,2268.078802,3720997,27524,1.454225959,17324.90253,5.650213905
60,Georgia,8/2/2020,193177,3840,,189337,1819.433962,1624640,19064,1.987814284,15301.64146,9.868669666
61,Hawaii,8/2/2020,2242,26,1269,947,158.3476472,126641,194,1.159678858,8944.381978,8.652988403
62,Idaho,8/2/2020,21110,197,7146,13767,1181.26649,184299,856,0.933207011,10312.94329,4.054950261
63,Illinois,8/2/2020,183224,7714,,175510,1445.916889,2779603,,4.210147142,21935.30827,
64,Indiana,8/2/2020,67857,2975,47355,17527,1007.944037,769043,8848,4.384219756,11423.3212,13.03918535
65,Iowa,8/2/2020,45723,878,32952,11893,1449.191302,484118,,1.920258951,15344.12866,
66,Kansas,8/2/2020,27871,361,1178,26332,956.6768292,292507,1751,1.29525313,10040.35267,6.282515877
67,Kentucky,8/2/2020,31185,742,8135,22308,698.0143802,597136,3782,2.379349046,13365.70514,12.12762546
68,Louisiana,8/2/2020,119747,4007,74246,41494,2575.872366,1379440,,3.346221617,29673.0722,
69,Maine,8/2/2020,3958,123,3387,448,294.447602,172074,388,3.107630116,12801.10578,9.802930773
70,Maryland,8/2/2020,90274,3515,5713,81046,1493.198449,944786,12746,3.893701398,15627.4563,14.11923699
71,Massachusetts,8/2/2020,118458,8638,97595,12225,1718.649959,1214540,11936,7.292035996,17621.17477,10.07614513
72,Michigan,8/2/2020,91758,6457,60022,25279,918.7875625,1901841,,7.0369886,19043.43879,
73,Minnesota,8/2/2020,55947,1654,48847,5446,992.0328135,858341,5241,2.956369421,15219.80512,9.36779452
74,Mississippi,8/2/2020,60553,1703,35071,23779,2034.609154,462145,4314,2.812412267,15528.2884,7.124337357
75,Missouri,8/2/2020,52184,1276,,50908,850.258447,702467,,2.445193929,11445.62511,
76,Montana,8/2/2020,4193,61,2466,1666,392.3172071,174295,233,1.454805628,16307.87685,5.556880515
77,Nebraska,8/2/2020,26702,332,19325,7045,1380.370635,277243,1629,1.243352558,14332.18845,6.100666617
78,Nevada,8/2/2020,50205,832,1127,48246,1629.949912,482119,,1.657205458,15652.4215,
79,New Hampshire,8/2/2020,6634,417,5794,423,487.8977959,160962,695,6.285800422,11837.95674,10.47633404
80,New Jersey,8/2/2020,182350,15836,32475,134039,2052.984681,2145878,21565,8.684398135,24159.33458,11.82615849
81,New Mexico,8/2/2020,21016,654,8286,12076,1002.275341,565886,2703,3.111914732,26987.70381,12.86162923
82,New York,8/2/2020,416298,32710,73222,310366,2139.957821,6030935,89995,7.857352185,31001.70195,21.61792754
83,North Carolina,8/2/2020,125330,1983,92302,31045,1194.975174,1813510,,1.582222931,17291.14679,
84,North Dakota,8/2/2020,6660,105,5396,1159,873.9446397,156185,371,1.576576577,20495.05158,5.570570571
85,Ohio,8/2/2020,93031,3529,68394,21108,795.8782113,1517546,10900,3.793359203,12982.57351,11.7165246
86,Oklahoma,8/2/2020,38225,550,30820,6855,966.016683,637686,3241,1.438848921,16115.50855,8.478744277
87,Oregon,8/2/2020,19097,326,3872,14899,452.7783501,413657,1607,1.70707441,9807.557939,8.414934283
88,Pennsylvania,8/2/2020,118033,7223,86328,24482,921.989544,1244569,,6.119475062,9721.684654,
89,Rhode Island,8/2/2020,19022,1007,1823,16192,1795.61075,206016,2211,5.293870255,19447.19505,11.62338345
90,South Carolina,8/2/2020,91788,1777,32859,57152,1782.736427,722257,5527,1.935982917,14027.91066,6.02148429
91,South Dakota,8/2/2020,8955,135,7909,911,1012.254439,113953,835,1.507537688,12881.00839,9.324399777
92,Tennessee,8/2/2020,109627,1073,68471,40083,1605.274664,1562298,4756,0.978773477,22876.82229,4.338347305
93,Texas,8/2/2020,448145,6878,282604,158663,1545.547107,3747779,,1.534771112,12925.21169,
94,Utah,8/2/2020,41175,311,29389,11475,1284.327493,536716,2430,0.75531269,16741.20497,5.901639344
95,Vermont,8/2/2020,1426,57,1238,131,228.5296696,96681,,3.997194951,15494.02313,
96,Virginia,8/2/2020,91782,2218,12108,77456,1075.294894,1140026,13280,2.416595847,13356.25871,14.46906801
97,Washington,8/2/2020,58173,1596,,56577,763.9371952,1001528,5655,2.743540818,13152.22683,9.72100459
98,West Virginia,8/2/2020,6858,117,4897,1844,382.669502,291212,,1.706036745,16249.33669,
99,Wisconsin,8/2/2020,54924,948,43964,10012,943.3168328,963656,4717,1.726021411,16550.74149,8.58823101
100,Wyoming,8/2/2020,2808,26,2173,609,485.1760405,53381,167,0.925925926,9223.35549,5.947293447
101,Alabama,8/3/2020,92661,1633,35401,55627,1889.812438,714051,10865,1.762337985,14563.00344,11.72553717
102,Alaska,8/3/2020,3341,25,946,2370,456.7046456,245807,,0.748278958,33601.07717,
103,Arizona,8/3/2020,179497,3779,23702,152016,2466.05274,964418,11400,2.105327666,13249.8351,6.351081077
104,Arkansas,8/3/2020,44597,475,37240,6882,1477.796437,527400,2966,1.065094065,17476.28408,6.65067157
105,California,8/3/2020,516851,9441,,507410,1308.078768,8184696,,1.826638625,20714.33946,
106,Colorado,8/3/2020,47950,1844,5393,40713,832.6479978,547212,6474,3.845672576,9502.293559,13.50156413
107,Connecticut,8/3/2020,50062,4437,8613,37012,1404.150634,829182,10807,8.863009868,23257.08982,21.58723183
108,Delaware,8/3/2020,15055,585,8267,6203,1546.062496,187659,,3.885752242,19271.50726,
109,Florida,8/3/2020,491884,7157,,484727,2290.204038,3752798,27744,1.45501785,17472.96747,5.64035423
110,Georgia,8/3/2020,195435,3842,,191593,1840.700893,1646401,19124,1.965871006,15506.59703,9.785350628
111,Hawaii,8/3/2020,2448,26,1294,1128,172.896985,127279,199,1.062091503,8989.442548,8.129084967
112,Idaho,8/3/2020,21670,200,7370,14100,1212.602787,185337,874,0.922934933,10371.02735,4.033225658
113,Illinois,8/3/2020,184522,7723,,176799,1456.160089,2808078,,4.185408786,22160.01946,
114,Indiana,8/3/2020,68433,2980,47355,18098,1016.499909,775482,9004,4.354624231,11518.96574,13.15739482
115,Iowa,8/3/2020,45905,884,33219,11802,1454.959795,486475,,1.925716153,15418.83381,
116,Kansas,8/3/2020,28432,367,1196,26869,975.9332499,301839,1782,1.2907991,10360.67516,6.267585819
117,Kentucky,8/3/2020,31508,744,8335,22429,705.2440946,600293,3815,2.361305065,13436.36833,12.10803605
118,Louisiana,8/3/2020,120846,4024,74246,42576,2599.512906,1393910,,3.329857836,29984.33572,
119,Maine,8/3/2020,3970,124,3396,450,295.3403183,174145,389,3.123425693,12955.17374,9.798488665
120,Maryland,8/3/2020,91144,3523,5740,81881,1507.58889,960637,12832,3.865312034,15889.64351,14.07882033
121,Massachusetts,8/3/2020,118657,8648,97595,12414,1721.537154,1226852,11942,7.288234154,17799.80364,10.06430299
122,Michigan,8/3/2020,92374,6467,60022,25885,924.9556692,1926823,,7.000887696,19293.58756,
123,Minnesota,8/3/2020,56560,1656,49565,5339,1002.902317,872004,5298,2.927864215,15462.0727,9.367043847
124,Mississippi,8/3/2020,61125,1711,42391,17023,2053.828622,462717,4380,2.799182004,15547.50787,7.165644172
125,Missouri,8/3/2020,53214,1279,,51935,867.0407213,712948,,2.403502838,11616.39697,
126,Montana,8/3/2020,4233,64,2653,1516,396.0597991,179508,236,1.511930073,16795.63015,5.575242145
127,Nebraska,8/3/2020,26956,328,19575,7053,1393.501268,281106,1630,1.216797744,14531.88779,6.04689123
128,Nevada,8/3/2020,51199,847,1158,49194,1662.221004,484866,,1.654329186,15741.6053,
129,New Hampshire,8/3/2020,6660,417,5820,423,489.809967,162622,696,6.261261261,11960.04151,10.45045045
130,New Jersey,8/3/2020,182614,15846,32660,134108,2055.956921,2164580,21565,8.677319373,24369.89076,11.80906174
131,New Mexico,8/3/2020,21130,655,8343,12132,1007.712121,574253,2720,3.099858022,27386.73492,12.87269285
132,New York,8/3/2020,416843,32719,73279,310845,2142.759364,6082774,89995,7.849238202,31268.17758,21.58966325
133,North Carolina,8/3/2020,127630,2043,105093,20494,1216.904823,1837410,,1.600720834,17519.02445,
134,North Dakota,8/3/2020,6785,105,5590,1090,890.3475045,158751,379,1.547531319,20831.76959,5.585851142
135,Ohio,8/3/2020,93963,3539,69501,20923,803.8514514,1535543,10992,3.766376127,13136.53746,11.69822164
136,Oklahoma,8/3/2020,38602,551,31165,6886,975.5441726,638063,3275,1.427387182,16125.03604,8.484016372
137,Oregon,8/3/2020,19366,328,3960,15078,459.1561778,417131,1655,1.693689972,9889.924384,8.545905195
138,Pennsylvania,8/3/2020,118894,7224,86757,24913,928.7150614,1256569,,6.076000471,9815.420088,
139,Rhode Island,8/3/2020,19246,1010,1838,16398,1816.755572,210066,2231,5.247843708,19829.50099,11.59201912
140,South Carolina,8/3/2020,92951,1793,32859,58299,1805.324592,731675,5527,1.92897333,14210.83012,5.946143667
141,South Dakota,8/3/2020,9020,135,7939,946,1019.601903,114648,838,1.496674058,12959.56973,9.290465632
142,Tennessee,8/3/2020,110636,1092,70878,38666,1620.049511,1574533,4808,0.9870205,23055.98012,4.345782566
143,Texas,8/3/2020,456624,7016,297422,152186,1574.789192,3834586,,1.536493921,13224.58869,
144,Utah,8/3/2020,41529,314,29967,11248,1295.369434,540182,2450,0.756098148,16849.31618,5.899491921
145,Vermont,8/3/2020,1427,57,1240,130,228.6899288,97238,,3.994393833,15583.28753,
146,Virginia,8/3/2020,93106,2218,12255,78633,1090.806546,1155108,13460,2.382231006,13532.95564,14.45664082
147,Washington,8/3/2020,58715,1600,,57115,771.0548264,1008280,5692,2.725027676,13240.89518,9.694285958
148,West Virginia,8/3/2020,6978,117,4918,1943,389.3653813,295046,,1.676698194,16463.27003,
149,Wisconsin,8/3/2020,55328,949,44495,9884,950.2555117,970836,4732,1.715225564,16674.05762,8.552631579
150,Wyoming,8/3/2020,2848,27,2214,607,492.0873801,54880,167,0.948033708,9482.357942,5.863764045
151,Alabama,8/4/2020,93702,1666,35401,56635,1911.043536,722301,11100,1.777976991,14731.26141,11.84606519
152,Alaska,8/4/2020,3394,25,987,2382,463.9495861,252649,,0.736593989,34536.35798,
153,Arizona,8/4/2020,180505,3845,23944,152716,2479.901334,971244,13294,2.130134899,13343.61537,7.364892939
